slug,language,image_source,colliding_query,repeat_count,affected_headings,cause
phuket-beach-guide-en,en,본문 섹션(###) 이미지 캐러셀,Phuket beach ocean,5,Patong Beach | Kata and Karon Beaches | Kamala Beach | Surin and Bang Tao Beaches | Nai Harn Beach,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-surfing-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Bali beach ocean,5,발리 서핑의 매력 | 서핑 시즌 구분 | 현지 서핑 문화 에티켓 | 짱구의 서핑 문화 거리 | 서핑과 함께하는 웰니스 여행,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
da-nang-beach-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Da Nang beach ocean,4,다낭 해변의 전반적인 특징 | 다낭 해변 방문 최적 시기 | 해변 카페와 루프탑 바 | 해변 이용 시 주의사항,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
london-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,London food cuisine,4,The British Food Revival | Borough Market: London's Oldest Food Market | Brixton: South London's Food Powerhouse | Using Transport to Reach Food Destinations,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Bangkok local market,4,Airport to City Center on a Budget | Best Budget Neighborhoods | Best Markets and Food Streets for Budget Eating | Practical Budget Tips,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Bali local market,4,Currency Exchange Tips | When to Visit Bali on a Budget | Budget Stays in Ubud | Travel Insurance and Health Costs,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
new-york-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,New York local market,4,Average Daily Budget Breakdown | Hostels and Budget Hotels | Grocery Shopping for Budget Travelers | Currency and Payment Tips,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
sokcho-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Sokcho hiking nature,4,Ulsanbawi Rock Trail (울산바위 등산로) | Biryong Falls Trail (비룡폭포 코스) | Gwongeumseong Fortress Trail via Cable Car (권금성) | Practical Seoraksan Hiking Tips,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
boracay-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Boracay beach ocean,4,White Beach Sunset Walk | Kiteboarding and Windsurfing at Bulabog Beach | Day 1: Arrival and White Beach Exploration | Filipino Seafood Grills,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
saipan-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Saipan beach ocean,4,"Micro Beach | Tank Beach and Obyan Beach | International Dining and Beachfront Restaurants | Day 1: Beaches, Lagoons, and Sunset at Micro Beach",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Paris local market,4,Iconic Landmarks That Cost Nothing | Budget Airport Transportation | Hostels and Budget Hotels | Shopping and Souvenirs on a Budget,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-shopping-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Bangkok shopping market,4,방콕 쇼핑의 특징 | 쇼핑 전 알아두면 유용한 정보 | MBK 센터 & 프라투남 시장 | 로컬라이크 마켓 & 탈링찬 수상시장,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
singapore-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Singapore food cuisine,4,Peranakan Cuisine: Singapore's Hidden Gem | Food as Social Infrastructure | Roti Prata and Indian Muslim Food | Food Tours and Cooking Classes,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-cafe-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Bali cafe coffee,4,발리 카페 문화의 특징 | 카페 방문 전 알아두어야 할 기본 정보 | Seniman Coffee Studio | 커피 메뉴 추천,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Tokyo local market,4,Key Budget Benchmarks to Know | Types of Budget Accommodation | Day Trips from Tokyo on a Budget | Useful Apps for Budget Travelers,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
dubai-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Dubai food cuisine,4,The Role of Emirati Cuisine | The Influence of South Asian and Levantine Cuisines | Food Delivery and Apps | Dubai Food Festival,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-temples-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bangkok temple shrine,4,Understanding Temple Etiquette for Foreign Visitors | Wat Pho: The Temple of the Reclining Buddha | Wat Arun: The Temple of Dawn | Wat Benchamabophit: The Marble Temple,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
chiang-mai-temples-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Chiang Mai temple shrine,3,주요 사원 운영 시간 정리 | 올드시티 사원 도보 코스 추천 | 사원과 연계되는 주요 축제,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
london-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,London local market,3,Street Food Markets on a Budget | Budget Supermarket and Meal Prep Tips | Hostels and Budget Hotels,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-nightlife-guide-en,en,본문 섹션(###) 이미지 캐러셀,Seoul culture tradition,3,Club Culture in Seoul | Pojangmacha Culture | Alcohol Culture and Etiquette,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
busan-beach-guide-en,en,본문 섹션(###) 이미지 캐러셀,Busan local market,3,Beach Facilities and Costs | Currency and Payments | Budget,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
osaka-best-restaurants-ko,ko,본문 섹션(###) 이미지 캐러셀,Osaka restaurant,3,오사카 맛집 탐방 최적 시기 | 위치별 맛집 밀집 구역 | 예산별 맛집 이용 가이드,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
jeju-island-nature-guide-en,en,본문 섹션(###) 이미지 캐러셀,Jeju Island hiking nature,3,Hiking Trails on Hallasan | The Jeju Olle Trail Network | What to Pack for Jeju Island Hiking,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
osaka-usj-guide-en,en,본문 섹션(###) 이미지 캐러셀,Osaka nature park,3,Driving and Parking | Minion Park | Jurassic Park and Other Classic Zones,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
da-nang-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Da Nang beach ocean,3,My Khe Beach | Non Nuoc Beach | Bac My An Beach,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
vancouver-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Vancouver nature park,3,Stanley Park | Capilano Suspension Bridge Park | Day 3: North Shore and Nature,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
florence-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Florence art gallery,3,Day One: The Heart of the Renaissance | Uffizi Gallery | Accademia Gallery,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
chiang-mai-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Chiang Mai temple shrine,3,Wat Phra Singh — The Old City's Most Revered Temple | Doi Suthep Temple — The Mountain Shrine Above the City | Temple Etiquette,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
jeju-island-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Jeju Island nature park,3,Hallim Park (한림공원) | Hike Hallasan (한라산) — South Korea's Highest Peak | Visit Seongsan Ilchulbong (성산일출봉) — Sunrise Peak,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
sydney-complete-guide-en,en,본문 섹션(###) 이미지 캐러셀,Sydney beach ocean,3,Bondi Beach | Sydney's Seafood Culture | Bondi Beach,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-shopping-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Fukuoka shopping market,3,쇼핑 시즌과 세일 기간 | 면세 쇼핑 활용법 | 주요 쇼핑 구성,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Fukuoka restaurant,3,Tenjin: Upscale Dining and Casual Eats | Dining Hours and Reservation Culture | Yanagawa: Eel and Canal Town Dining,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
osaka-shopping-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Osaka shopping market,3,오사카 쇼핑의 특징 | 쇼핑 시즌과 세일 기간 | 구로몬 시장,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
ho-chi-minh-complete-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Ho Chi Minh City shopping market,3,벤탄 시장과 1군 구시가지 | 쇼핑몰과 기념품 | 하이엔드 쇼핑과 로컬 브랜드,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-temples-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Bangkok temple shrine,3,왓 프라깨우(에메랄드 사원)와 왕궁 | 왓 포(와불 사원) | 왓 아룬(새벽 사원),itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kyoto-temples-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Kyoto temple shrine,3,교토 사원 여행의 최적 시기 | 기요미즈데라 – 교토의 랜드마크 절벽 무대 | 아라시야마 지역 사원 묶음 코스,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
dubai-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Dubai local market,3,What Costs More in Dubai | What Costs Less Than Expected | Budget Hotels and Hostels,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-best-restaurants-en,en,본문 섹션(###) 이미지 캐러셀,Tokyo food cuisine,3,Depachika: Department Store Food Halls | Best Neighborhoods for Food Tourism | Food Allergies and Dietary Restrictions,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
singapore-budget-travel-en,en,본문 섹션(###) 이미지 캐러셀,Singapore local market,3,Average Daily Budget Breakdown | Hawker Centres: The Budget Traveler's Best Friend | Sentosa Island on a Budget,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-ginza-shopping-ko,ko,본문 섹션(###) 이미지 캐러셀,Tokyo shopping market,3,긴자 쇼핑의 특징 | 면세 쇼핑 활용법 | 쇼핑 시 유용한 팁,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
dubai-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Dubai restaurant,3,Dining Hours and Ramadan Etiquette | Downtown Dubai and DIFC: Upscale International Dining | Al Seef: Heritage Dining on the Creek,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bali-temples-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bali temple shrine,3,The Three Temple Types | Temple Etiquette for International Visitors | Tanah Lot Temple,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-street-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Seoul food cuisine,3,Myeongdong Outdoor Food Street | Gwangjang Market — Seoul's Oldest Food Market | Food Allergy Considerations,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
seoul-street-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Seoul shopping market,3,Hongdae Free Market and Street Vendors | Mangwon Market | Noryangjin Fish Market,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
tokyo-harajuku-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Tokyo nature park,3,오모테산도 힐즈 | 요요기 공원과의 연계 방문 | 예산 계획,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
taichung-taiwan-travel-guide-korean,ko,본문 섹션(###) 이미지 캐러셀,Taichung nature park,3,국립 자연과학박물관 (國立自然科學博物館) | 심천문창산업원구 (審計新村) | 타이중 공원 & 중산당 (台中公園),itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
bangkok-street-food-guide-en,en,본문 섹션(###) 이미지 캐러셀,Bangkok shopping market,2,Or Tor Kor Market (อ.ต.ก. ตลาด) | Khlong Toei Market,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
kyoto-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Kyoto culture tradition,2,The Gion District and Geiko Culture | Traditional Arts and Craftsmanship,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-eiffel-tower-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Paris travel,2,예약 팁 | 복장 및 준비물,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
fukuoka-best-restaurants-ko,ko,본문 섹션(###) 이미지 캐러셀,Fukuoka food cuisine,2,후쿠오카 음식 문화의 특징 | 복어 요리 전문점,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
sapporo-travel-guide-for-korean-travelers-2024,ko,본문 섹션(###) 이미지 캐러셀,Sapporo nature park,2,오도리 공원 (大通公園) | 홋카이도 특산품,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
da-nang-beach-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Da Nang nature park,2,오행산과 린응사 방문 | 해산물 식당 이용 팁,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
paris-cafe-restaurant-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Paris culture tradition,2,결제 및 팁 문화 | 테라스 문화 즐기기,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
sapporo-snow-festival-ko,ko,본문 섹션(###) 이미지 캐러셀,Sapporo transportation,2,삿포로 시내 이동 | 이동 및 숙박 팁,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
dubai-travel-guide-en,en,본문 섹션(###) 이미지 캐러셀,Dubai beach ocean,2,"Dubai Marina and JBR Beach | Day 2: Palm Jumeirah, Beach, and Desert",itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
cebu-complete-guide-ko,ko,본문 섹션(###) 이미지 캐러셀,Cebu transportation,2,세부 시내 교통 | 막탄 섬 및 근교 이동,itemToSearchQuery() 정규식이 서로 다른 소제목을 동일 검색어로 매핑 + fetchItemImages()에 아이템 간 중복 방지 로직 없음 + page=1 고정 → 동일 쿼리는 항상 동일 상위 이미지 반환
